WB2,MA1,HH6,HH7,windex5,religion,HL11,HL13,Dropout,helevel
16,0,2,30,3,1,1,1,1,1
16,0,2,30,3,1,1,1,1,1
16,0,2,30,3,1,1,1,1,1
16,0,2,30,3,1,1,1,1,1
16,0,2,30,3,1,1,1,1,1
16,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
15,0,2,30,3,1,1,1,1,1
17,1,2,30,3,1,1,1,1,1
17,1,2,30,3,1,1,1,1,1
17,1,2,30,3,1,1,1,1,1
17,1,2,30,3,1,1,1,1,1
16,1,2,30,3,1,1,1,1,1
15,1,2,30,3,1,1,1,1,1
17,0,1,30,3,1,1,1,1,1
16,0,1,30,3,1,1,1,1,1
15,0,1,30,3,1,1,1,1,1
15,0,1,30,3,1,1,1,1,1
15,0,1,30,3,1,1,1,1,1
17,0,2,20,3,1,1,1,1,1
17,0,2,20,3,1,1,1,1,1
17,0,2,20,3,1,1,1,1,1
17,0,2,20,3,1,1,1,1,1
17,0,2,20,3,1,1,1,1,1
17,0,2,20,3,1,1,1,1,1
17,0,2,20,3,1,1,1,1,1
17,0,2,20,3,1,1,1,1,1
16,0,2,20,3,1,1,1,1,1
16,0,2,20,3,1,1,1,1,1
16,0,2,20,3,1,1,1,1,1
16,0,2,20,3,1,1,1,1,1
16,0,2,20,3,1,1,1,1,1
16,0,2,20,3,1,1,1,1,1
16,0,2,20,3,1,1,1,1,1
16,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
15,0,2,20,3,1,1,1,1,1
17,0,1,20,3,1,1,1,1,1
17,0,1,20,3,1,1,1,1,1
17,0,1,20,3,1,1,1,1,1
16,0,1,20,3,1,1,1,1,1
16,0,1,20,3,1,1,1,1,1
16,0,1,20,3,1,1,1,1,1
15,0,1,20,3,1,1,1,1,1
15,0,1,20,3,1,1,1,1,1
15,0,1,20,3,1,1,1,1,1
17,0,2,10,3,1,1,1,1,1
17,0,2,10,3,1,1,1,1,1
17,0,2,10,3,1,1,1,1,1
17,0,2,10,3,1,1,1,1,1
16,0,2,10,3,1,1,1,1,1
16,0,2,10,3,1,1,1,1,1
16,0,2,10,3,1,1,1,1,1
16,0,2,10,3,1,1,1,1,1
16,0,2,10,3,1,1,1,1,1
16,0,2,10,3,1,1,1,1,1
15,0,2,10,3,1,1,1,1,1
15,0,2,10,3,1,1,1,1,1
15,0,2,10,3,1,1,1,1,1
15,0,2,10,3,1,1,1,1,1
15,0,2,10,3,1,1,1,1,1
15,0,2,10,3,1,1,1,1,1
15,1,2,10,3,1,1,1,1,1
16,0,1,10,3,1,1,1,1,1
16,0,1,10,3,1,1,1,1,1
15,0,1,10,3,1,1,1,1,1
15,0,1,10,3,1,1,1,1,1
17,0,2,50,2,4,1,1,1,1
17,0,2,50,2,4,1,1,1,1
17,0,2,20,2,4,1,1,1,1
17,0,2,20,2,3,1,1,1,1
17,0,2,20,2,3,1,1,1,1
17,0,2,20,2,3,1,1,1,1
16,0,2,20,2,3,1,1,1,1
15,0,2,20,2,3,1,1,1,1
15,0,2,60,2,2,1,1,1,1
15,0,2,60,2,2,1,1,1,1
17,0,2,55,2,2,1,1,1,1
17,0,2,55,2,2,1,1,1,1
17,0,2,55,2,2,1,1,1,1
17,0,2,55,2,2,1,1,1,1
16,0,2,55,2,2,1,1,1,1
15,0,2,55,2,2,1,1,1,1
15,0,2,55,2,2,1,1,1,1
16,0,2,40,2,2,1,1,1,1
15,0,2,40,2,2,1,1,1,1
17,1,2,40,2,2,1,1,1,1
17,0,2,30,2,2,1,1,1,1
17,0,2,30,2,2,1,1,1,1
16,0,2,30,2,2,1,1,1,1
16,0,2,30,2,2,1,1,1,1
16,0,2,30,2,2,1,1,1,1
16,0,2,30,2,2,1,1,1,1
17,0,2,20,2,2,1,1,1,1
15,0,2,20,2,2,1,1,1,1
15,0,2,20,2,2,1,1,1,1
15,0,2,10,2,2,1,1,1,1
17,1,2,10,2,2,1,1,1,1
17,0,2,60,2,1,1,1,1,1
16,0,2,60,2,1,1,1,1,1
16,0,2,60,2,1,1,1,1,1
16,0,2,60,2,1,1,1,1,1
16,0,2,60,2,1,1,1,1,1
15,0,2,60,2,1,1,1,1,1
15,0,2,60,2,1,1,1,1,1
15,0,2,60,2,1,1,1,1,1
15,0,2,60,2,1,1,1,1,1
15,0,2,60,2,1,1,1,1,1
15,0,2,60,2,1,1,1,1,1
15,0,1,60,2,1,1,1,1,1
15,0,1,60,2,1,1,1,1,1
17,0,2,55,2,1,1,1,1,1
17,0,2,55,2,1,1,1,1,1
17,0,2,55,2,1,1,1,1,1
17,0,2,55,2,1,1,1,1,1
17,0,2,55,2,1,1,1,1,1
17,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
16,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
15,0,2,55,2,1,1,1,1,1
16,0,1,55,2,1,1,1,1,1
15,0,1,55,2,1,1,1,1,1
15,0,1,55,2,1,1,1,1,1
17,0,2,50,2,1,1,1,1,1
17,0,2,50,2,1,1,1,1,1
16,0,2,50,2,1,1,1,1,1
16,0,2,50,2,1,1,1,1,1
16,0,2,50,2,1,1,1,1,1
16,0,2,50,2,1,1,1,1,1
16,0,2,50,2,1,1,1,1,1
16,0,2,50,2,1,1,1,1,1
16,0,2,50,2,1,1,1,1,1
16,0,2,50,2,1,1,1,1,1
16,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
15,0,2,50,2,1,1,1,1,1
17,1,2,50,2,1,1,1,1,1
16,1,2,50,2,1,1,1,1,1
17,0,1,50,2,1,1,1,1,1
16,0,1,50,2,1,1,1,1,1
17,0,2,40,2,1,1,1,1,1
17,0,2,40,2,1,1,1,1,1
17,0,2,40,2,1,1,1,1,1
17,0,2,40,2,1,1,1,1,1
17,0,2,40,2,1,1,1,1,1
17,0,2,40,2,1,1,1,1,1
17,0,2,40,2,1,1,1,1,1
17,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
16,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
15,0,2,40,2,1,1,1,1,1
17,1,2,40,2,1,1,1,1,1
17,1,2,40,2,1,1,1,1,1
16,1,2,40,2,1,1,1,1,1
16,1,2,40,2,1,1,1,1,1
16,0,1,40,2,1,1,1,1,1
15,0,1,40,2,1,1,1,1,1
15,0,1,40,2,1,1,1,1,1
16,1,1,40,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
17,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
16,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
15,0,2,30,2,1,1,1,1,1
17,1,2,30,2,1,1,1,1,1
15,0,1,30,2,1,1,1,1,1
15,0,1,30,2,1,1,1,1,1
15,0,1,30,2,1,1,1,1,1
15,0,1,30,2,1,1,1,1,1
17,0,2,20,2,1,1,1,1,1
17,0,2,20,2,1,1,1,1,1
17,0,2,20,2,1,1,1,1,1
17,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
16,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
15,0,2,20,2,1,1,1,1,1
16,1,2,20,2,1,1,1,1,1
17,0,1,20,2,1,1,1,1,1
17,0,1,20,2,1,1,1,1,1
16,0,1,20,2,1,1,1,1,1
16,0,1,20,2,1,1,1,1,1
16,0,1,20,2,1,1,1,1,1
15,0,1,20,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
17,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
16,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,0,2,10,2,1,1,1,1,1
15,1,2,10,2,1,1,1,1,1
15,1,2,10,2,1,1,1,1,1
16,0,2,50,1,6,1,1,1,1
16,0,2,20,1,4,1,1,1,1
17,0,2,20,1,3,1,1,1,1
17,0,2,20,1,3,1,1,1,1
17,0,2,20,1,3,1,1,1,1
17,0,2,20,1,3,1,1,1,1
17,0,2,20,1,3,1,1,1,1
16,0,2,20,1,3,1,1,1,1
16,0,2,20,1,3,1,1,1,1
16,0,2,20,1,3,1,1,1,1
16,0,2,20,1,3,1,1,1,1
15,0,2,20,1,3,1,1,1,1
15,0,2,20,1,3,1,1,1,1
15,0,2,20,1,3,1,1,1,1
15,0,2,20,1,3,1,1,1,1
15,0,2,20,1,3,1,1,1,1
15,0,2,20,1,3,1,1,1,1
15,0,2,20,1,3,1,1,1,1
16,0,2,60,1,2,1,1,1,1
16,0,2,60,1,2,1,1,1,1
16,0,2,55,1,2,1,1,1,1
16,0,2,55,1,2,1,1,1,1
15,0,2,55,1,2,1,1,1,1
15,0,2,55,1,2,1,1,1,1
15,0,2,55,1,2,1,1,1,1
15,0,2,55,1,2,1,1,1,1
15,0,2,55,1,2,1,1,1,1
16,1,2,55,1,2,1,1,1,1
15,0,1,55,1,2,1,1,1,1
15,0,1,55,1,2,1,1,1,1
17,0,2,50,1,2,1,1,1,1
16,0,2,50,1,2,1,1,1,1
16,0,2,50,1,2,1,1,1,1
17,0,2,40,1,2,1,1,1,1
17,0,2,40,1,2,1,1,1,1
16,0,2,40,1,2,1,1,1,1
15,0,2,40,1,2,1,1,1,1
15,0,2,30,1,2,1,1,1,1
17,0,2,20,1,2,1,1,1,1
16,0,2,20,1,2,1,1,1,1
15,0,2,20,1,2,1,1,1,1
15,0,2,20,1,2,1,1,1,1
15,0,2,20,1,2,1,1,1,1
15,0,2,20,1,2,1,1,1,1
15,0,2,20,1,2,1,1,1,1
15,0,1,20,1,2,1,1,1,1
15,0,1,20,1,2,1,1,1,1
15,0,2,10,1,2,1,1,1,1
17,0,2,60,1,1,1,1,1,1
16,0,2,60,1,1,1,1,1,1
16,0,2,60,1,1,1,1,1,1
16,0,2,60,1,1,1,1,1,1
16,0,2,60,1,1,1,1,1,1
16,0,2,60,1,1,1,1,1,1
15,0,2,60,1,1,1,1,1,1
15,0,2,60,1,1,1,1,1,1
15,0,2,60,1,1,1,1,1,1
15,0,2,60,1,1,1,1,1,1
15,0,2,60,1,1,1,1,1,1
15,0,1,60,1,1,1,1,1,1
17,0,2,55,1,1,1,1,1,1
17,0,2,55,1,1,1,1,1,1
17,0,2,55,1,1,1,1,1,1
17,0,2,55,1,1,1,1,1,1
17,0,2,55,1,1,1,1,1,1
17,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
16,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
15,0,2,55,1,1,1,1,1,1
17,1,2,55,1,1,1,1,1,1
15,1,2,55,1,1,1,1,1,1
17,0,1,55,1,1,1,1,1,1
17,0,1,55,1,1,1,1,1,1
16,0,1,55,1,1,1,1,1,1
15,0,1,55,1,1,1,1,1,1
15,0,1,55,1,1,1,1,1,1
17,0,2,50,1,1,1,1,1,1
17,0,2,50,1,1,1,1,1,1
17,0,2,50,1,1,1,1,1,1
16,0,2,50,1,1,1,1,1,1
16,0,2,50,1,1,1,1,1,1
16,0,2,50,1,1,1,1,1,1
16,0,2,50,1,1,1,1,1,1
15,0,2,50,1,1,1,1,1,1
15,0,2,50,1,1,1,1,1,1
15,0,2,50,1,1,1,1,1,1
15,0,2,50,1,1,1,1,1,1
15,0,2,50,1,1,1,1,1,1
15,0,2,50,1,1,1,1,1,1
15,0,2,50,1,1,1,1,1,1
17,1,2,50,1,1,1,1,1,1
16,1,2,50,1,1,1,1,1,1
16,1,2,50,1,1,1,1,1,1
16,1,2,50,1,1,1,1,1,1
16,0,1,50,1,1,1,1,1,1
17,0,2,40,1,1,1,1,1,1
17,0,2,40,1,1,1,1,1,1
17,0,2,40,1,1,1,1,1,1
17,0,2,40,1,1,1,1,1,1
17,0,2,40,1,1,1,1,1,1
17,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
16,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
15,0,2,40,1,1,1,1,1,1
16,1,2,40,1,1,1,1,1,1
16,0,1,40,1,1,1,1,1,1
15,0,1,40,1,1,1,1,1,1
17,0,2,30,1,1,1,1,1,1
17,0,2,30,1,1,1,1,1,1
17,0,2,30,1,1,1,1,1,1
17,0,2,30,1,1,1,1,1,1
16,0,2,30,1,1,1,1,1,1
16,0,2,30,1,1,1,1,1,1
16,0,2,30,1,1,1,1,1,1
16,0,2,30,1,1,1,1,1,1
16,0,2,30,1,1,1,1,1,1
16,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
15,0,2,30,1,1,1,1,1,1
17,1,2,30,1,1,1,1,1,1
16,1,2,30,1,1,1,1,1,1
16,1,2,30,1,1,1,1,1,1
17,0,1,30,1,1,1,1,1,1
16,0,1,30,1,1,1,1,1,1
16,1,1,30,1,1,1,1,1,1
17,0,2,20,1,1,1,1,1,1
17,0,2,20,1,1,1,1,1,1
17,0,2,20,1,1,1,1,1,1
17,0,2,20,1,1,1,1,1,1
17,0,2,20,1,1,1,1,1,1
16,0,2,20,1,1,1,1,1,1
16,0,2,20,1,1,1,1,1,1
16,0,2,20,1,1,1,1,1,1
16,0,2,20,1,1,1,1,1,1
16,0,2,20,1,1,1,1,1,1
16,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
15,0,2,20,1,1,1,1,1,1
17,0,1,20,1,1,1,1,1,1
17,0,2,10,1,1,1,1,1,1
16,0,2,10,1,1,1,1,1,1
16,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
15,0,2,10,1,1,1,1,1,1
17,1,2,10,1,1,1,1,1,1
17,0,1,10,1,1,1,1,1,1
15,0,1,10,1,1,1,1,1,1
17,0,1,30,5,1,2,2,2,2
15,0,1,30,5,1,2,2,2,2
15,1,2,10,4,1,2,2,2,2
16,1,1,10,4,1,2,2,2,2
17,1,2,55,2,1,2,2,2,2
16,1,2,50,2,1,2,2,2,2
16,1,2,20,2,1,2,2,2,2
16,1,2,40,1,1,2,2,2,2
15,0,1,30,5,1,1,2,2,2
17,0,2,55,3,1,1,2,2,2
16,1,2,40,3,1,1,2,2,2
17,1,2,30,3,1,1,2,2,2
15,0,2,10,2,2,1,2,2,2
15,0,2,60,2,1,1,2,2,2
15,0,2,30,2,1,1,2,2,2
15,0,2,30,2,1,1,2,2,2
17,0,1,30,2,1,1,2,2,2
16,0,2,20,2,1,1,2,2,2
16,0,2,20,2,1,1,2,2,2
16,0,2,20,2,1,1,2,2,2
16,0,2,20,2,1,1,2,2,2
16,0,2,40,1,1,1,2,2,2
17,1,1,50,5,1,2,1,2,2
17,1,2,40,4,1,2,1,2,2
16,1,1,40,4,1,2,1,2,2
17,0,2,60,3,1,2,1,2,2
17,0,2,30,3,1,2,1,2,2
16,1,2,50,2,1,2,1,2,2
16,0,2,20,2,1,2,1,2,2
17,0,2,60,5,1,1,1,2,2
17,1,2,50,5,1,1,1,2,2
17,1,1,50,5,1,1,1,2,2
15,0,2,30,5,1,1,1,2,2
17,1,1,10,5,1,1,1,2,2
17,0,2,60,4,1,1,1,2,2
16,0,2,60,4,1,1,1,2,2
16,0,2,60,4,1,1,1,2,2
15,0,2,60,4,1,1,1,2,2
15,0,2,60,4,1,1,1,2,2
17,1,2,50,4,1,1,1,2,2
16,1,2,50,4,1,1,1,2,2
16,1,2,50,4,1,1,1,2,2
15,0,1,50,4,1,1,1,2,2
17,1,2,40,4,1,1,1,2,2
17,1,2,40,4,1,1,1,2,2
16,1,1,40,4,1,1,1,2,2
17,0,2,30,4,1,1,1,2,2
17,0,2,30,4,1,1,1,2,2
17,1,2,30,4,1,1,1,2,2
17,1,2,30,4,1,1,1,2,2
17,1,2,30,4,1,1,1,2,2
17,1,2,30,4,1,1,1,2,2
17,1,2,30,4,1,1,1,2,2
16,1,2,30,4,1,1,1,2,2
17,0,1,30,4,1,1,1,2,2
16,0,1,30,4,1,1,1,2,2
16,0,1,30,4,1,1,1,2,2
